Upload PDF(s) (multiple files allowed),Ask a question,output,timestamp
"["".gradio\\flagged\\Upload PDFs multiple files allowed\\0348c4588ed0ef95bd47\\110PowerAppsInterviewQuestions.pdf""]",Formula for search in canvas,,2025-03-09 23:32:15.740111
"["".gradio\\flagged\\Upload PDFs multiple files allowed\\95a1779a164cc7429672\\110PowerAppsInterviewQuestions.pdf""]",what is power apps,,2025-03-09 23:37:35.288774
